#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
13830762,9,7.912,0.397,7,8,-61,5180,GoogleWiFi_AP03,1
13831152,9,8.694,0.765,7,8,-57,5180,GoogleWiFi_AP03,1
13831524,9,8.03,0.349,7,8,-60,5180,GoogleWiFi_AP03,1
13831895,9,8.928,0.123,7,8,-57,5180,GoogleWiFi_AP03,1
13832260,9,8.577,0.704,7,8,-56,5180,GoogleWiFi_AP03,1
13832643,9,8.772,0.294,7,8,-60,5180,GoogleWiFi_AP03,1
13833037,9,8.733,0.536,7,8,-57,5180,GoogleWiFi_AP03,1
13833423,9,8.303,0.22,7,8,-59,5180,GoogleWiFi_AP03,1
13833806,9,8.459,0.171,7,8,-65,5180,GoogleWiFi_AP03,1
13834202,9,9.045,0.607,7,8,-56,5180,GoogleWiFi_AP03,1
13834584,9,8.655,0.228,7,8,-56,5180,GoogleWiFi_AP03,1
13834969,9,8.655,0.153,7,8,-57,5180,GoogleWiFi_AP03,1
13835354,9,8.538,0.173,7,8,-59,5180,GoogleWiFi_AP03,1
13835739,9,7.991,0.405,7,8,-60,5180,GoogleWiFi_AP03,1
13836144,9,7.639,0.549,7,8,-59,5180,GoogleWiFi_AP03,1
13836526,9,8.782,0.954,7,8,-59,5180,GoogleWiFi_AP03,1
13836928,9,8.664,0.645,7,8,-61,5180,GoogleWiFi_AP03,1
13837311,9,8.694,0.811,7,8,-62,5180,GoogleWiFi_AP03,1
13837717,9,8.606,0.485,7,8,-63,5180,GoogleWiFi_AP03,1
13838110,9,8.664,0.534,7,8,-63,5180,GoogleWiFi_AP03,1
13838504,9,8.664,0.717,7,8,-65,5180,GoogleWiFi_AP03,1
13838906,9,8.577,0.223,7,8,-64,5180,GoogleWiFi_AP03,1
13839312,9,8.811,0.244,7,8,-58,5180,GoogleWiFi_AP03,1
13839716,9,8.919,0.211,7,8,-60,5180,GoogleWiFi_AP03,1
13840099,9,8.42,0.18,7,8,-62,5180,GoogleWiFi_AP03,1
13840496,9,8.987,1.153,7,8,-59,5180,GoogleWiFi_AP03,1
13840905,9,8.381,0.281,7,8,-63,5180,GoogleWiFi_AP03,1
13841314,9,8.547,0.187,7,8,-63,5180,GoogleWiFi_AP03,1
13841696,9,8.635,0.272,7,8,-62,5180,GoogleWiFi_AP03,1
13842079,9,8.664,0.257,7,8,-63,5180,GoogleWiFi_AP03,1
13842462,9,8.664,0.333,7,8,-61,5180,GoogleWiFi_AP03,1
13842858,9,8.723,0.186,7,8,-60,5180,GoogleWiFi_AP03,1
13843240,9,8.752,0.122,7,8,-58,5180,GoogleWiFi_AP03,1
13843642,9,8.723,0.173,7,8,-58,5180,GoogleWiFi_AP03,1
13844051,9,8.723,0.112,7,8,-60,5180,GoogleWiFi_AP03,1
13844430,9,8.694,0.177,7,8,-63,5180,GoogleWiFi_AP03,1
13844827,9,8.606,0.28,7,8,-60,5180,GoogleWiFi_AP03,1
13845221,9,8.577,0.129,7,8,-61,5180,GoogleWiFi_AP03,1
13845603,9,8.381,0.127,7,8,-63,5180,GoogleWiFi_AP03,1
13845986,9,8.459,0.139,7,8,-63,5180,GoogleWiFi_AP03,1
13846393,9,8.499,0.153,7,8,-62,5180,GoogleWiFi_AP03,1
13846778,9,8.303,0.262,7,8,-60,5180,GoogleWiFi_AP03,1
13847161,9,8.733,0.112,7,8,-64,5180,GoogleWiFi_AP03,1
13847542,9,7.873,0.442,7,8,-63,5180,GoogleWiFi_AP03,1
13847937,9,8.459,0.519,7,8,-65,5180,GoogleWiFi_AP03,1
13848323,9,8.606,1.096,7,8,-66,5180,GoogleWiFi_AP03,1
13848731,9,8.782,0.238,7,8,-59,5180,GoogleWiFi_AP03,1
13849128,9,8.752,0.929,7,8,-59,5180,GoogleWiFi_AP03,1
13849520,9,8.811,1.183,7,8,-60,5180,GoogleWiFi_AP03,1
13849904,9,7.952,0.37,7,8,-63,5180,GoogleWiFi_AP03,1
13850291,9,9.016,1.216,7,8,-57,5180,GoogleWiFi_AP03,1
13850687,9,8.84,0.3,7,8,-61,5180,GoogleWiFi_AP03,1
13851074,9,9.094,0.964,7,8,-58,5180,GoogleWiFi_AP03,1
13851441,9,9.075,0.412,7,8,-58,5180,GoogleWiFi_AP03,1
13851819,9,8.752,0.942,7,8,-62,5180,GoogleWiFi_AP03,1
13852195,9,8.577,0.175,7,8,-64,5180,GoogleWiFi_AP03,1
13852599,9,8.02,1.006,7,8,-68,5180,GoogleWiFi_AP03,1
13852984,9,7.961,1.39,7,8,-65,5180,GoogleWiFi_AP03,1
13853367,9,8.196,0.278,7,8,-65,5180,GoogleWiFi_AP03,1
13853754,9,7.991,0.372,7,8,-61,5180,GoogleWiFi_AP03,1
13854149,9,8.899,0.861,7,8,-58,5180,GoogleWiFi_AP03,1
13854537,9,7.952,0.375,7,8,-61,5180,GoogleWiFi_AP03,1
13854917,9,8.254,0.65,7,8,-65,5180,GoogleWiFi_AP03,1
13855321,9,8.342,0.275,7,8,-62,5180,GoogleWiFi_AP03,1
13855703,9,8.547,0.62,7,8,-64,5180,GoogleWiFi_AP03,1
13856109,9,8.313,0.739,7,8,-67,5180,GoogleWiFi_AP03,1
13856516,9,8.518,0.115,7,8,-64,5180,GoogleWiFi_AP03,1
13856912,9,8.303,0.199,7,8,-62,5180,GoogleWiFi_AP03,1
13857316,9,8.342,0.28,7,8,-59,5180,GoogleWiFi_AP03,1
13857717,9,8.342,0.244,7,8,-60,5180,GoogleWiFi_AP03,1
13858119,9,8.752,0.064,7,8,-60,5180,GoogleWiFi_AP03,1
13858497,9,8.87,0.395,7,8,-57,5180,GoogleWiFi_AP03,1
13858878,9,8.401,0.263,7,8,-68,5180,GoogleWiFi_AP03,1
13859262,9,8.811,0.497,7,8,-58,5180,GoogleWiFi_AP03,1
13859644,9,8.782,0.864,7,8,-61,5180,GoogleWiFi_AP03,1
13860025,9,8.225,0.274,7,8,-63,5180,GoogleWiFi_AP03,1
13860441,9,8.616,0.158,7,8,-63,5180,GoogleWiFi_AP03,1
13860822,9,8.694,0.951,7,8,-63,5180,GoogleWiFi_AP03,1
13861293,9,8.547,0.879,7,8,-64,5180,GoogleWiFi_AP03,1
13861810,9,8.635,0.084,7,8,-63,5180,GoogleWiFi_AP03,1
13862191,9,8.772,0.086,7,8,-61,5180,GoogleWiFi_AP03,1
13862570,9,8.782,0.202,7,8,-63,5180,GoogleWiFi_AP03,1
13862942,9,8.635,0.907,7,8,-63,5180,GoogleWiFi_AP03,1
13863466,9,8.899,0.353,7,8,-57,5180,GoogleWiFi_AP03,1
13863863,9,8.869,0.266,7,8,-57,5180,GoogleWiFi_AP03,1
13864245,9,8.899,0.442,7,8,-57,5180,GoogleWiFi_AP03,1
13864642,9,8.84,0.702,7,8,-58,5180,GoogleWiFi_AP03,1
13865023,9,8.957,0.57,7,8,-57,5180,GoogleWiFi_AP03,1
13865406,9,8.987,0.412,7,8,-52,5180,GoogleWiFi_AP03,1
13865805,9,8.928,0.53,7,8,-58,5180,GoogleWiFi_AP03,1
13866208,9,8.84,0.571,7,8,-58,5180,GoogleWiFi_AP03,1
13866597,9,8.928,0.433,7,8,-58,5180,GoogleWiFi_AP03,1
13866980,9,8.928,0.324,7,8,-57,5180,GoogleWiFi_AP03,1
13867368,9,8.899,0.386,7,8,-57,5180,GoogleWiFi_AP03,1
13867751,9,8.772,0.681,7,8,-58,5180,GoogleWiFi_AP03,1
13868130,9,8.782,0.801,7,8,-60,5180,GoogleWiFi_AP03,1
