#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
15638867,18,18.127,0.216,7,8,-75,5180,GoogleWiFi_AP03,1
15639244,18,17.922,0.487,7,8,-71,5180,GoogleWiFi_AP03,1
15639618,18,18.186,0.455,7,8,-72,5180,GoogleWiFi_AP03,1
15639999,18,17.717,0.179,7,8,-69,5180,GoogleWiFi_AP03,1
15640408,18,17.805,0.122,7,8,-73,5180,GoogleWiFi_AP03,1
15640789,18,18.04,0.185,7,8,-72,5180,GoogleWiFi_AP03,1
15641195,18,18.342,0.112,7,8,-69,5180,GoogleWiFi_AP03,1
15641584,18,18.508,0.313,7,8,-70,5180,GoogleWiFi_AP03,1
15641968,18,19.319,0.062,7,8,-76,5180,GoogleWiFi_AP03,1
15642332,18,17.541,0.373,7,8,-69,5180,GoogleWiFi_AP03,1
15642714,18,17.483,0.717,7,8,-72,5180,GoogleWiFi_AP03,1
15643473,18,17.776,0.421,7,8,-69,5180,GoogleWiFi_AP03,1
15643879,18,18.01,0.247,7,8,-68,5180,GoogleWiFi_AP03,1
15644290,18,17.805,0.35,7,8,-69,5180,GoogleWiFi_AP03,1
15644672,18,17.835,0.296,7,8,-68,5180,GoogleWiFi_AP03,1
15645070,18,17.952,0.182,7,8,-68,5180,GoogleWiFi_AP03,1
15645456,18,17.952,0.123,7,8,-67,5180,GoogleWiFi_AP03,1
15645839,18,18.186,0.108,7,8,-70,5180,GoogleWiFi_AP03,1
15646241,18,18.264,0.109,7,8,-68,5180,GoogleWiFi_AP03,1
15646623,18,18.772,0.196,7,8,-68,5180,GoogleWiFi_AP03,1
15647012,18,18.772,0.404,7,8,-68,5180,GoogleWiFi_AP03,1
15647400,18,18.772,0.115,7,8,-69,5180,GoogleWiFi_AP03,1
15647786,18,18.948,0.187,7,8,-67,5180,GoogleWiFi_AP03,1
15648173,18,18.225,0.13,7,8,-67,5180,GoogleWiFi_AP03,1
15648556,18,18.215,0.106,7,8,-66,5180,GoogleWiFi_AP03,1
15648938,18,18.01,0.192,7,8,-67,5180,GoogleWiFi_AP03,1
15649325,18,17.717,0.236,7,8,-68,5180,GoogleWiFi_AP03,1
15649710,18,17.981,0.21,7,8,-67,5180,GoogleWiFi_AP03,1
15650096,18,18.039,0.233,7,8,-67,5180,GoogleWiFi_AP03,1
15650498,18,17.834,0.106,7,8,-68,5180,GoogleWiFi_AP03,1
15650877,18,17.561,0.277,7,8,-68,5180,GoogleWiFi_AP03,1
15651260,18,18.303,0.697,7,8,-67,5180,GoogleWiFi_AP03,1
15651666,18,17.834,1.877,7,8,-68,5180,GoogleWiFi_AP03,1
15652074,18,18.303,0.085,7,8,-69,5180,GoogleWiFi_AP03,1
15652463,18,18.157,0.541,7,8,-69,5180,GoogleWiFi_AP03,1
15652849,18,17.922,0.451,7,8,-68,5180,GoogleWiFi_AP03,1
15653258,18,18.069,0.346,7,8,-70,5180,GoogleWiFi_AP03,1
15653660,18,18.713,0.92,7,8,-68,5180,GoogleWiFi_AP03,1
15654043,18,18.069,0.162,7,8,-67,5180,GoogleWiFi_AP03,1
15654425,18,17.981,0.148,7,8,-68,5180,GoogleWiFi_AP03,1
15654811,18,17.952,0.369,7,8,-69,5180,GoogleWiFi_AP03,1
15655198,18,18.274,0.192,7,8,-68,5180,GoogleWiFi_AP03,1
15655580,18,18.03,0.322,7,8,-66,5180,GoogleWiFi_AP03,1
15655977,18,17.6,0.411,7,8,-69,5180,GoogleWiFi_AP03,1
15656373,18,17.834,0.274,7,8,-69,5180,GoogleWiFi_AP03,1
15656759,18,17.131,0.814,7,8,-73,5180,GoogleWiFi_AP03,1
15657163,18,18.362,0.848,7,8,-69,5180,GoogleWiFi_AP03,1
15657540,18,17.835,0.235,7,8,-69,5180,GoogleWiFi_AP03,1
15657939,18,18.391,0.081,7,8,-67,5180,GoogleWiFi_AP03,1
15658321,18,19.084,0.354,7,8,-75,5180,GoogleWiFi_AP03,1
15658806,18,17.424,0.611,7,8,-75,5180,GoogleWiFi_AP03,1
15659212,18,18.069,0.129,7,8,-67,5180,GoogleWiFi_AP03,1
15659620,18,18.655,0.144,7,8,-69,5180,GoogleWiFi_AP03,1
15660026,18,17.864,0.241,7,8,-65,5180,GoogleWiFi_AP03,1
15660439,18,17.688,0.538,7,8,-68,5180,GoogleWiFi_AP03,1
15660876,18,17.541,0.469,7,8,-74,5180,GoogleWiFi_AP03,1
15661267,18,17.717,0.343,7,8,-71,5180,GoogleWiFi_AP03,1
15661670,18,17.922,0.153,7,8,-69,5180,GoogleWiFi_AP03,1
15662224,18,17.952,1.956,7,8,-70,5180,GoogleWiFi_AP03,1
