#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
13503646,6,5.823,0.149,7,8,-67,5180,GoogleWiFi_AP03,1
13504008,6,5.911,0.19,7,8,-62,5180,GoogleWiFi_AP03,1
13504387,6,5.852,0.188,7,8,-61,5180,GoogleWiFi_AP03,1
13504768,6,5.53,0.37,7,8,-67,5180,GoogleWiFi_AP03,1
13505161,6,5.793,0.187,7,8,-63,5180,GoogleWiFi_AP03,1
13505558,6,5.793,0.225,7,8,-63,5180,GoogleWiFi_AP03,1
13505961,6,5.676,0.277,7,8,-63,5180,GoogleWiFi_AP03,1
13506365,6,5.647,0.323,7,8,-65,5180,GoogleWiFi_AP03,1
13506740,6,5.588,0.286,7,8,-65,5180,GoogleWiFi_AP03,1
13507115,6,5.53,0.412,7,8,-65,5180,GoogleWiFi_AP03,1
13507506,6,5.442,0.403,7,8,-65,5180,GoogleWiFi_AP03,1
13507909,6,5.647,0.365,7,8,-64,5180,GoogleWiFi_AP03,1
13508307,6,5.588,0.394,7,8,-64,5180,GoogleWiFi_AP03,1
13508689,6,5.588,0.425,7,8,-66,5180,GoogleWiFi_AP03,1
13509088,6,5.647,0.369,7,8,-67,5180,GoogleWiFi_AP03,1
13509469,6,5.559,0.459,7,8,-67,5180,GoogleWiFi_AP03,1
13509849,6,5.735,0.139,7,8,-66,5180,GoogleWiFi_AP03,1
13510253,6,5.588,0.313,7,8,-64,5180,GoogleWiFi_AP03,1
13510639,6,5.735,0.204,7,8,-64,5180,GoogleWiFi_AP03,1
13511021,6,5.793,0.231,7,8,-65,5180,GoogleWiFi_AP03,1
13511407,6,5.471,0.46,7,8,-67,5180,GoogleWiFi_AP03,1
13511817,6,5.852,0.161,7,8,-60,5180,GoogleWiFi_AP03,1
13512203,6,5.53,0.295,7,8,-67,5180,GoogleWiFi_AP03,1
13512609,6,5.334,0.381,7,8,-68,5180,GoogleWiFi_AP03,1
13512995,6,5.588,0.325,7,8,-66,5180,GoogleWiFi_AP03,1
13513383,6,5.823,0.141,7,8,-62,5180,GoogleWiFi_AP03,1
13513773,6,5.559,0.32,7,8,-66,5180,GoogleWiFi_AP03,1
13514164,6,5.471,0.451,7,8,-66,5180,GoogleWiFi_AP03,1
13514548,6,5.618,0.34,7,8,-65,5180,GoogleWiFi_AP03,1
13514935,6,5.706,0.27,7,8,-66,5180,GoogleWiFi_AP03,1
13515335,6,5.559,0.464,7,8,-65,5180,GoogleWiFi_AP03,1
13515721,6,5.793,0.298,7,8,-62,5180,GoogleWiFi_AP03,1
13516127,6,5.793,0.217,7,8,-63,5180,GoogleWiFi_AP03,1
13516511,6,5.559,0.391,7,8,-64,5180,GoogleWiFi_AP03,1
13516918,6,5.793,0.235,7,8,-63,5180,GoogleWiFi_AP03,1
13517327,6,5.764,0.219,7,8,-63,5180,GoogleWiFi_AP03,1
13517730,6,5.706,0.288,7,8,-65,5180,GoogleWiFi_AP03,1
13518121,6,5.53,0.391,7,8,-65,5180,GoogleWiFi_AP03,1
13518511,6,5.588,0.361,7,8,-64,5180,GoogleWiFi_AP03,1
13518919,6,5.647,0.273,7,8,-63,5180,GoogleWiFi_AP03,1
13519299,6,5.696,0.304,7,8,-62,5180,GoogleWiFi_AP03,1
13519682,6,5.178,0.498,7,8,-69,5180,GoogleWiFi_AP03,1
13520093,6,5.706,0.323,7,8,-65,5180,GoogleWiFi_AP03,1
13520497,6,5.647,0.282,7,8,-64,5180,GoogleWiFi_AP03,1
13520903,6,5.735,0.235,7,8,-63,5180,GoogleWiFi_AP03,1
13521292,6,5.413,0.464,7,8,-66,5180,GoogleWiFi_AP03,1
13521682,6,5.178,0.583,7,8,-64,5180,GoogleWiFi_AP03,1
13522067,6,5.178,0.641,7,8,-66,5180,GoogleWiFi_AP03,1
13522448,6,5.793,0.276,7,8,-61,5180,GoogleWiFi_AP03,1
13522854,6,5.676,0.291,7,8,-63,5180,GoogleWiFi_AP03,1
