True_Range,Est_Range,stdev,RSSI,Final_range,Error_before_offset,Error_after_offset
3,2.922,1.082,-57,2.849345762711865,0.07799999999999985,-0.1506542372881352
3,2.688,0.714,-60,2.615345762711865,0.31199999999999983,-0.3846542372881352
3,2.834,0.879,-60,2.7613457627118647,0.16599999999999993,-0.23865423728813528
3,2.805,0.24,-60,2.732345762711865,0.19499999999999984,-0.2676542372881352
3,3.157,0.779,-61,3.0843457627118647,0.15700000000000003,0.08434576271186467
3,3.098,1.877,-57,3.0253457627118645,0.09799999999999986,0.025345762711864506
3,3.479,0.708,-55,3.4063457627118647,0.4790000000000001,0.40634576271186473
3,3.127,0.086,-57,3.0543457627118644,0.12699999999999978,0.05434576271186442
3,3.264,0.106,-56,3.1913457627118644,0.2639999999999998,0.19134576271186443
3,3.274,0.117,-56,3.2013457627118647,0.274,0.20134576271186466
3,3.215,0.057,-57,3.1423457627118645,0.21499999999999986,0.1423457627118645
3,3.215,0.154,-60,3.1423457627118645,0.21499999999999986,0.1423457627118645
3,3.303,0.187,-57,3.2303457627118646,0.30299999999999994,0.23034576271186458
3,3.303,0.195,-58,3.2303457627118646,0.30299999999999994,0.23034576271186458
3,3.362,0.299,-59,3.2893457627118647,0.3620000000000001,0.28934576271186474
3,3.274,0.851,-58,3.2013457627118647,0.274,0.20134576271186466
3,2.864,0.442,-68,2.7913457627118645,0.13600000000000012,-0.20865423728813548
3,2.952,0.262,-59,2.8793457627118646,0.04800000000000004,-0.1206542372881354
3,2.952,0.262,-59,2.8793457627118646,0.04800000000000004,-0.1206542372881354
3,3.245,0.188,-59,3.1723457627118647,0.2450000000000001,0.17234576271186475
3,3.098,0.223,-60,3.0253457627118645,0.09799999999999986,0.025345762711864506
3,3.186,0.196,-60,3.1133457627118646,0.18599999999999994,0.11334576271186458
3,3.147,0.252,-59,3.0743457627118644,0.1469999999999998,0.07434576271186444
3,3.186,0.154,-60,3.1133457627118646,0.18599999999999994,0.11334576271186458
3,3.069,0.297,-59,2.9963457627118646,0.06899999999999995,-0.003654237288135409
3,3.098,0.24,-59,3.0253457627118645,0.09799999999999986,0.025345762711864506
3,3.098,0.174,-58,3.0253457627118645,0.09799999999999986,0.025345762711864506
