True_Range,Est_Range,stdev,RSSI,Final_range,Error_before_offset,Error_after_offset
11,10.295,1.108,-70,10.460491638795986,0.7050000000000001,-0.5395083612040139
11,10.481,0.099,-72,10.646491638795986,0.5190000000000001,-0.35350836120401397
11,10.012,0.418,-65,10.177491638795987,0.9879999999999995,-0.8225083612040134
11,10.422,1.065,-74,10.587491638795987,0.5779999999999994,-0.41250836120401324
11,10.305,0.931,-67,10.470491638795986,0.6950000000000003,-0.5295083612040141
11,10.491,0.97,-69,10.656491638795986,0.5090000000000003,-0.3435083612040142
11,10.999,0.475,-72,11.164491638795987,0.0009999999999994458,0.16449163879598672
11,10.647,1.089,-67,10.812491638795986,0.35299999999999976,-0.1875083612040136
11,10.295,0.477,-74,10.460491638795986,0.7050000000000001,-0.5395083612040139
11,10.1,0.145,-74,10.265491638795986,0.9000000000000004,-0.7345083612040142
11,10.881,0.879,-70,11.046491638795986,0.11899999999999977,0.04649163879598639
11,10.481,1.147,-73,10.646491638795986,0.5190000000000001,-0.35350836120401397
11,12.532,0.097,-69,12.697491638795986,1.532,1.6974916387959862
11,12.209,0.407,-69,12.374491638795986,1.2089999999999996,1.3744916387959858
11,10.647,0.892,-64,10.812491638795986,0.35299999999999976,-0.1875083612040136
11,10.647,0.796,-72,10.812491638795986,0.35299999999999976,-0.1875083612040136
11,11.916,0.52,-72,12.081491638795987,0.9160000000000004,1.0814916387959865
11,10.1,0.473,-69,10.265491638795986,0.9000000000000004,-0.7345083612040142
11,10.246,0.231,-69,10.411491638795987,0.7539999999999996,-0.5885083612040134
11,12.483,0.143,-69,12.648491638795987,1.4830000000000005,1.6484916387959867
11,9.924,1.23,-68,10.089491638795986,1.0760000000000005,-0.9105083612040143
11,12.444,0.818,-71,12.609491638795987,1.4440000000000008,1.609491638795987
11,10.979,0.797,-68,11.144491638795985,0.021000000000000796,0.14449163879598537
11,12.473,0.193,-70,12.638491638795987,1.4730000000000008,1.638491638795987
11,12.18,0.41,-71,12.345491638795986,1.1799999999999997,1.3454916387959859
11,9.954,0.205,-71,10.119491638795987,1.0459999999999994,-0.8805083612040132
11,10.178,0.107,-69,10.343491638795987,0.8219999999999992,-0.656508361204013
11,12.737,0.241,-69,12.902491638795986,1.737,1.9024916387959863
11,10.569,0.878,-71,10.734491638795987,0.43099999999999916,-0.265508361204013
