True_Range,Est_Range,stdev,RSSI,Final_range,Error_before_offset,Error_after_offset
25,24.514,0.273,-79,24.658151515151513,0.48600000000000065,-0.3418484848484873
25,25.021,0.387,-71,25.165151515151514,0.021000000000000796,0.16515151515151416
25,24.905,0.21,-77,25.049151515151515,0.09499999999999886,0.0491515151515145
25,24.338,0.559,-77,24.482151515151514,0.661999999999999,-0.5178484848484857
25,24.104,0.698,-78,24.248151515151513,0.8960000000000008,-0.7518484848484874
25,24.456,0.349,-79,24.600151515151513,0.5440000000000005,-0.3998484848484871
25,24.426,0.493,-79,24.57015151515151,0.5740000000000016,-0.42984848484848825
25,24.514,0.317,-78,24.658151515151513,0.48600000000000065,-0.3418484848484873
25,24.25,0.639,-78,24.394151515151513,0.75,-0.6058484848484866
25,24.163,0.683,-78,24.307151515151514,0.8369999999999997,-0.6928484848484864
25,24.28,0.537,-77,24.424151515151515,0.7199999999999989,-0.5758484848484855
25,24.133,0.462,-78,24.277151515151512,0.8670000000000009,-0.7228484848484875
25,24.104,0.478,-76,24.248151515151513,0.8960000000000008,-0.7518484848484874
25,24.788,0.135,-78,24.932151515151514,0.21199999999999974,-0.06784848484848638
25,24.485,0.529,-80,24.629151515151513,0.5150000000000006,-0.3708484848484872
25,24.602,0.444,-75,24.746151515151514,0.3979999999999997,-0.2538484848484863
25,23.84,1.277,-76,23.984151515151513,1.1600000000000001,-1.0158484848484868
25,24.28,0.243,-79,24.424151515151515,0.7199999999999989,-0.5758484848484855
25,24.661,0.102,-80,24.805151515151515,0.33899999999999864,-0.19484848484848527
25,24.368,0.431,-80,24.512151515151512,0.6320000000000014,-0.4878484848484881
25,24.866,1.129,-79,25.010151515151513,0.13400000000000034,0.010151515151513024
25,24.748,0.311,-79,24.892151515151514,0.2519999999999989,-0.10784848484848553
25,24.944,0.386,-78,25.088151515151512,0.05600000000000094,0.08815151515151243
25,24.631,0.461,-80,24.775151515151514,0.3689999999999998,-0.2248484848484864
25,25.715,0.097,-74,25.859151515151513,0.7149999999999999,0.8591515151515132
25,25.1,0.202,-78,25.244151515151515,0.10000000000000142,0.2441515151515148
25,24.397,0.425,-78,24.541151515151512,0.6030000000000015,-0.45884848484848817
25,25.413,0.22,-76,25.557151515151514,0.41300000000000026,0.5571515151515136
25,24.944,0.359,-77,25.088151515151512,0.05600000000000094,0.08815151515151243
25,25.491,0.181,-78,25.635151515151513,0.49099999999999966,0.635151515151513
25,24.28,0.443,-81,24.424151515151515,0.7199999999999989,-0.5758484848484855
25,24.631,0.491,-80,24.775151515151514,0.3689999999999998,-0.2248484848484864
25,25.1,0.308,-79,25.244151515151515,0.10000000000000142,0.2441515151515148
25,25.246,0.178,-80,25.390151515151512,0.24599999999999866,0.39015151515151203
25,24.954,0.219,-81,25.098151515151514,0.045999999999999375,0.09815151515151399
25,24.983,2.416,-79,25.127151515151514,0.01699999999999946,0.1271515151515139
25,24.631,0.258,-81,24.775151515151514,0.3689999999999998,-0.2248484848484864
25,24.827,0.727,-81,24.971151515151515,0.17299999999999827,-0.0288484848484849
25,24.866,0.657,-81,25.010151515151513,0.13400000000000034,0.010151515151513024
25,24.905,0.132,-81,25.049151515151515,0.09499999999999886,0.0491515151515145
25,24.905,0.117,-81,25.049151515151515,0.09499999999999886,0.0491515151515145
25,24.866,0.149,-81,25.010151515151513,0.13400000000000034,0.010151515151513024
25,24.924,0.081,-81,25.068151515151513,0.07600000000000051,0.06815151515151285
25,25.129,0.122,-81,25.273151515151515,0.12900000000000134,0.2731515151515147
25,25.178,0.177,-80,25.322151515151514,0.17800000000000082,0.3221515151515142
25,25.217,0.192,-79,25.361151515151512,0.21699999999999875,0.3611515151515121
25,25.53,1.134,-78,25.674151515151515,0.5300000000000011,0.6741515151515145
25,25.452,1.064,-78,25.596151515151515,0.45200000000000173,0.5961515151515151
25,24.67,0.318,-80,24.814151515151515,0.3299999999999983,-0.18584848484848493
25,24.866,0.194,-80,25.010151515151513,0.13400000000000034,0.010151515151513024
25,24.905,0.267,-80,25.049151515151515,0.09499999999999886,0.0491515151515145
25,25.217,0.149,-80,25.361151515151512,0.21699999999999875,0.3611515151515121
25,25.022,0.185,-80,25.166151515151512,0.021999999999998465,0.16615151515151183
25,25.188,0.17,-80,25.332151515151512,0.18799999999999883,0.3321515151515122
25,24.944,0.171,-80,25.088151515151512,0.05600000000000094,0.08815151515151243
25,24.944,0.18,-81,25.088151515151512,0.05600000000000094,0.08815151515151243
25,24.788,0.258,-80,24.932151515151514,0.21199999999999974,-0.06784848484848638
25,25.022,0.156,-80,25.166151515151512,0.021999999999998465,0.16615151515151183
25,25.129,0.109,-80,25.273151515151515,0.12900000000000134,0.2731515151515147
25,24.983,0.153,-81,25.127151515151514,0.01699999999999946,0.1271515151515139
25,24.983,0.177,-81,25.127151515151514,0.01699999999999946,0.1271515151515139
25,25.071,0.159,-80,25.215151515151515,0.0710000000000015,0.21515151515151487
25,25.178,0.19,-80,25.322151515151514,0.17800000000000082,0.3221515151515142
25,24.827,0.166,-81,24.971151515151515,0.17299999999999827,-0.0288484848484849
25,24.827,2.5,-74,24.971151515151515,0.17299999999999827,-0.0288484848484849
25,24.28,0.435,-81,24.424151515151515,0.7199999999999989,-0.5758484848484855
25,24.25,0.467,-81,24.394151515151513,0.75,-0.6058484848484866
25,24.309,0.511,-82,24.453151515151514,0.690999999999999,-0.5468484848484856
25,24.426,0.493,-82,24.57015151515151,0.5740000000000016,-0.42984848484848825
25,24.719,0.285,-81,24.863151515151515,0.2809999999999988,-0.13684848484848544
