True_Range,Est_Range,stdev,RSSI,Final_range,Error_before_offset,Error_after_offset
5,4.827,0.731,-66,5.377469178082191,0.17300000000000004,0.37746917808219127
5,4.475,0.926,-68,5.025469178082191,0.5250000000000004,0.025469178082190957
5,4.866,0.65,-67,5.416469178082191,0.13400000000000034,0.41646917808219097
5,4.67,0.152,-72,5.220469178082191,0.33000000000000007,0.22046917808219124
5,4.651,1.055,-70,5.201469178082191,0.3490000000000002,0.2014691780821911
5,4.944,0.104,-72,5.494469178082191,0.05600000000000005,0.49446917808219126
5,4.436,0.183,-65,4.986469178082191,0.5640000000000001,-0.013530821917808744
5,4.621,0.187,-73,5.171469178082192,0.37899999999999956,0.17146917808219175
5,4.123,0.315,-68,4.6734691780821915,0.8769999999999998,-0.32653082191780847
5,4.241,1.362,-72,4.791469178082191,0.7590000000000003,-0.20853082191780903
5,4.446,1.306,-67,4.996469178082191,0.5540000000000003,-0.0035308219178089573
5,4.504,1.882,-71,5.054469178082191,0.49600000000000044,0.05446917808219087
5,4.475,1.825,-68,5.025469178082191,0.5250000000000004,0.025469178082190957
5,4.035,2.118,-68,4.5854691780821915,0.9649999999999999,-0.41453082191780855
5,4.446,1.354,-67,4.996469178082191,0.5540000000000003,-0.0035308219178089573
5,4.153,0.722,-66,4.703469178082191,0.8470000000000004,-0.2965308219178091
5,4.006,0.622,-67,4.5564691780821915,0.9939999999999998,-0.44353082191780846
5,4.123,0.759,-65,4.6734691780821915,0.8769999999999998,-0.32653082191780847
5,4.329,0.868,-67,4.879469178082191,0.6710000000000003,-0.12053082191780895
5,4.299,0.869,-64,4.849469178082192,0.7009999999999996,-0.1505308219178083
5,4.241,0.803,-67,4.791469178082191,0.7590000000000003,-0.20853082191780903
5,4.241,0.622,-69,4.791469178082191,0.7590000000000003,-0.20853082191780903
5,4.036,0.628,-67,4.586469178082191,0.9640000000000004,-0.4135308219178091
5,4.905,0.527,-68,5.455469178082192,0.09499999999999975,0.45546917808219156
5,4.065,0.263,-69,4.615469178082192,0.9349999999999996,-0.3845308219178083
5,4.67,0.286,-71,5.220469178082191,0.33000000000000007,0.22046917808219124
5,4.788,0.689,-68,5.338469178082192,0.21199999999999974,0.33846917808219157
5,4.749,0.432,-72,5.299469178082191,0.25100000000000033,0.299469178082191
5,4.563,1.22,-68,5.113469178082191,0.4370000000000003,0.11346917808219104
5,4.27,1.149,-67,4.820469178082191,0.7300000000000004,-0.1795308219178091
5,4.709,0.303,-74,5.259469178082191,0.29100000000000037,0.25946917808219094
5,4.27,0.87,-75,4.820469178082191,0.7300000000000004,-0.1795308219178091
5,4.827,0.078,-73,5.377469178082191,0.17300000000000004,0.37746917808219127
5,4.592,0.172,-72,5.142469178082191,0.40800000000000036,0.14246917808219095
5,4.15,0.516,-69,4.700469178082192,0.8499999999999996,-0.29953082191780833
5,4.387,0.663,-76,4.937469178082191,0.6130000000000004,-0.06253082191780912
5,4.592,0.265,-77,5.142469178082191,0.40800000000000036,0.14246917808219095
5,4.866,0.109,-76,5.416469178082191,0.13400000000000034,0.41646917808219097
5,4.475,0.865,-75,5.025469178082191,0.5250000000000004,0.025469178082190957
5,3.993,0.833,-72,4.543469178082192,1.0070000000000001,-0.45653082191780836
5,4.973,0.808,-74,5.523469178082191,0.027000000000000135,0.5234691780821912
5,4.123,0.371,-70,4.6734691780821915,0.8769999999999998,-0.32653082191780847
5,4.123,0.173,-71,4.6734691780821915,0.8769999999999998,-0.32653082191780847
5,4.211,0.212,-71,4.761469178082192,0.7889999999999997,-0.2385308219178084
5,4.123,0.257,-69,4.6734691780821915,0.8769999999999998,-0.32653082191780847
5,4.387,0.188,-69,4.937469178082191,0.6130000000000004,-0.06253082191780912
5,3.86,0.559,-68,4.410469178082192,1.1400000000000001,-0.5895308219178084
5,4.563,0.12,-72,5.113469178082191,0.4370000000000003,0.11346917808219104
5,4.241,0.085,-71,4.791469178082191,0.7590000000000003,-0.20853082191780903
5,4.084,0.17,-66,4.634469178082191,0.9160000000000004,-0.36553082191780906
