True_Range,Est_Range,stdev,RSSI,Final_range,Error_before_offset,Error_after_offset
6,5.823,0.149,-67,6.2406250000000005,0.1769999999999996,0.24062500000000053
6,5.911,0.19,-62,6.328625,0.08900000000000041,0.3286249999999997
6,5.852,0.188,-61,6.2696250000000004,0.1479999999999997,0.26962500000000045
6,5.53,0.37,-67,5.947625,0.46999999999999975,-0.052374999999999616
6,5.793,0.187,-63,6.210625,0.20699999999999985,0.21062500000000028
6,5.793,0.225,-63,6.210625,0.20699999999999985,0.21062500000000028
6,5.676,0.277,-63,6.093625,0.32399999999999984,0.09362500000000029
6,5.647,0.323,-65,6.064625,0.35299999999999976,0.06462500000000038
6,5.588,0.286,-65,6.005625,0.4119999999999999,0.005625000000000213
6,5.53,0.412,-65,5.947625,0.46999999999999975,-0.052374999999999616
6,5.442,0.403,-65,5.859625,0.5579999999999998,-0.1403749999999997
6,5.647,0.365,-64,6.064625,0.35299999999999976,0.06462500000000038
6,5.588,0.394,-64,6.005625,0.4119999999999999,0.005625000000000213
6,5.588,0.425,-66,6.005625,0.4119999999999999,0.005625000000000213
6,5.647,0.369,-67,6.064625,0.35299999999999976,0.06462500000000038
6,5.559,0.459,-67,5.976625,0.44099999999999984,-0.0233749999999997
6,5.735,0.139,-66,6.1526250000000005,0.2649999999999997,0.15262500000000045
6,5.588,0.313,-64,6.005625,0.4119999999999999,0.005625000000000213
6,5.735,0.204,-64,6.1526250000000005,0.2649999999999997,0.15262500000000045
6,5.793,0.231,-65,6.210625,0.20699999999999985,0.21062500000000028
6,5.471,0.46,-67,5.888625,0.5289999999999999,-0.11137499999999978
6,5.852,0.161,-60,6.2696250000000004,0.1479999999999997,0.26962500000000045
6,5.53,0.295,-67,5.947625,0.46999999999999975,-0.052374999999999616
6,5.334,0.381,-68,5.751625,0.6660000000000004,-0.24837500000000023
6,5.588,0.325,-66,6.005625,0.4119999999999999,0.005625000000000213
6,5.823,0.141,-62,6.2406250000000005,0.1769999999999996,0.24062500000000053
6,5.559,0.32,-66,5.976625,0.44099999999999984,-0.0233749999999997
6,5.471,0.451,-66,5.888625,0.5289999999999999,-0.11137499999999978
6,5.618,0.34,-65,6.0356250000000005,0.3819999999999997,0.03562500000000046
6,5.706,0.27,-66,6.1236250000000005,0.2939999999999996,0.12362500000000054
6,5.559,0.464,-65,5.976625,0.44099999999999984,-0.0233749999999997
6,5.793,0.298,-62,6.210625,0.20699999999999985,0.21062500000000028
