True_Range,Est_Range,stdev,RSSI,Final_range,Error_before_offset,Error_after_offset
2,1.868,0.619,-53,2.123928813559322,0.1319999999999999,0.12392881355932195
2,1.985,0.641,-51,2.240928813559322,0.014999999999999902,0.24092881355932194
2,1.721,0.637,-53,1.976928813559322,0.2789999999999999,-0.02307118644067807
2,1.545,0.796,-55,1.8009288135593218,0.45500000000000007,-0.19907118644067823
2,1.721,0.64,-50,1.976928813559322,0.2789999999999999,-0.02307118644067807
2,1.721,0.718,-51,1.976928813559322,0.2789999999999999,-0.02307118644067807
2,1.633,0.638,-53,1.8889288135593219,0.367,-0.11107118644067815
2,1.838,0.633,-51,2.093928813559322,0.16199999999999992,0.09392881355932214
2,1.75,0.597,-53,2.005928813559322,0.25,0.005928813559322066
2,1.78,0.743,-50,2.035928813559322,0.21999999999999997,0.03592881355932187
2,1.838,0.59,-54,2.093928813559322,0.16199999999999992,0.09392881355932214
2,1.809,0.675,-51,2.064928813559322,0.19100000000000006,0.06492881355932179
2,1.897,0.61,-51,2.152928813559322,0.10299999999999998,0.15292881355932186
2,1.819,0.629,-52,2.074928813559322,0.18100000000000005,0.07492881355932202
2,1.956,0.57,-51,2.2119288135593216,0.04400000000000004,0.21192881355932158
2,1.78,0.67,-50,2.035928813559322,0.21999999999999997,0.03592881355932187
2,1.956,0.518,-51,2.2119288135593216,0.04400000000000004,0.21192881355932158
2,1.633,0.619,-54,1.8889288135593219,0.367,-0.11107118644067815
2,1.575,0.67,-52,1.8309288135593218,0.42500000000000004,-0.1690711864406782
2,1.428,0.734,-53,1.6839288135593218,0.5720000000000001,-0.3160711864406782
2,1.457,0.616,-48,1.712928813559322,0.5429999999999999,-0.2870711864406781
2,1.633,0.685,-53,1.8889288135593219,0.367,-0.11107118644067815
2,1.721,0.573,-51,1.976928813559322,0.2789999999999999,-0.02307118644067807
2,1.692,0.593,-53,1.9479288135593218,0.30800000000000005,-0.05207118644067821
2,1.897,0.451,-52,2.152928813559322,0.10299999999999998,0.15292881355932186
2,1.78,0.604,-52,2.035928813559322,0.21999999999999997,0.03592881355932187
2,1.692,0.59,-52,1.9479288135593218,0.30800000000000005,-0.05207118644067821
2,1.75,0.635,-51,2.005928813559322,0.25,0.005928813559322066
2,1.78,0.647,-52,2.035928813559322,0.21999999999999997,0.03592881355932187
2,1.662,0.683,-51,1.9179288135593218,0.3380000000000001,-0.08207118644067823
2,1.575,0.82,-51,1.8309288135593218,0.42500000000000004,-0.1690711864406782
2,1.604,0.768,-52,1.859928813559322,0.3959999999999999,-0.14007118644067806
2,1.75,0.584,-52,2.005928813559322,0.25,0.005928813559322066
2,1.692,0.513,-52,1.9479288135593218,0.30800000000000005,-0.05207118644067821
2,1.487,0.634,-53,1.742928813559322,0.5129999999999999,-0.25707118644067806
2,1.604,0.62,-53,1.859928813559322,0.3959999999999999,-0.14007118644067806
2,1.809,0.504,-51,2.064928813559322,0.19100000000000006,0.06492881355932179
2,1.809,0.463,-51,2.064928813559322,0.19100000000000006,0.06492881355932179
2,1.926,0.484,-51,2.181928813559322,0.07400000000000007,0.18192881355932178
2,1.838,0.459,-52,2.093928813559322,0.16199999999999992,0.09392881355932214
2,1.985,0.354,-52,2.240928813559322,0.014999999999999902,0.24092881355932194
2,1.868,0.449,-52,2.123928813559322,0.1319999999999999,0.12392881355932195
2,1.926,0.459,-52,2.181928813559322,0.07400000000000007,0.18192881355932178
2,1.897,0.46,-52,2.152928813559322,0.10299999999999998,0.15292881355932186
