True_Range,Est_Range,stdev,RSSI,Final_range,Raw_error,Callibrated_data_error
22,22.727,0.219,-78,22.432356902356904,-0.7270000000000003,-0.43235690235690427
22,21.995,0.365,-77,21.700356902356905,0.004999999999999005,0.29964309764309505
22,22.375,0.142,-75,22.080356902356904,-0.375,-0.08035690235690396
22,22.229,0.052,-74,21.934356902356903,-0.2289999999999992,0.06564309764309684
22,22.112,0.633,-75,21.817356902356902,-0.11199999999999832,0.18264309764309772
22,22.639,0.513,-77,22.344356902356903,-0.6389999999999993,-0.3443569023569033
22,22.581,0.467,-77,22.286356902356903,-0.5809999999999995,-0.2863569023569035
22,22.405,0.123,-77,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,21.819,0.492,-79,21.524356902356903,0.18100000000000094,0.475643097643097
22,22.6,0.138,-69,22.305356902356905,-0.6000000000000014,-0.3053569023569054
22,22.678,0.093,-77,22.383356902356905,-0.6780000000000008,-0.3833569023569048
22,22.2,0.42,-79,21.905356902356903,-0.1999999999999993,0.09464309764309675
22,22.434,0.483,-77,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.141,0.091,-76,21.846356902356902,-0.14099999999999824,0.1536430976430978
22,21.848,0.439,-78,21.553356902356903,0.15200000000000102,0.44664309764309706
22,22.317,0.087,-77,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.786,0.097,-78,22.491356902356905,-0.7860000000000014,-0.4913569023569053
22,22.112,1.071,-80,21.817356902356902,-0.11199999999999832,0.18264309764309772
22,22.932,1.067,-76,22.637356902356903,-0.9319999999999986,-0.6373569023569026
22,22.405,0.346,-79,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.434,0.372,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.493,0.189,-79,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.463,0.157,-77,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.61,0.128,-77,22.315356902356903,-0.6099999999999994,-0.3153569023569034
22,22.346,0.148,-80,22.051356902356904,-0.3460000000000001,-0.051356902356904044
22,22.405,0.281,-81,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.463,0.154,-80,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.463,0.209,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.346,0.253,-80,22.051356902356904,-0.3460000000000001,-0.051356902356904044
22,22.317,0.233,-80,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.463,0.189,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.288,0.288,-79,21.993356902356904,-0.28800000000000026,0.0066430976430957855
22,22.346,0.166,-79,22.051356902356904,-0.3460000000000001,-0.051356902356904044
22,22.141,0.324,-80,21.846356902356902,-0.14099999999999824,0.1536430976430978
22,21.907,0.107,-80,21.612356902356904,0.09299999999999997,0.387643097643096
22,22.493,0.37,-77,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.229,0.425,-78,21.934356902356903,-0.2289999999999992,0.06564309764309684
22,22.229,0.519,-79,21.934356902356903,-0.2289999999999992,0.06564309764309684
22,22.834,0.575,-77,22.539356902356904,-0.8339999999999996,-0.5393569023569036
22,22.639,0.142,-70,22.344356902356903,-0.6389999999999993,-0.3443569023569033
22,22.317,0.233,-78,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.551,0.118,-77,22.256356902356902,-0.5509999999999984,-0.25635690235690234
22,21.848,0.57,-80,21.553356902356903,0.15200000000000102,0.44664309764309706
22,22.522,0.126,-77,22.227356902356902,-0.5219999999999985,-0.22735690235690242
22,22.405,0.322,-79,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.434,0.253,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.493,0.221,-79,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.61,0.225,-78,22.315356902356903,-0.6099999999999994,-0.3153569023569034
22,22.346,0.214,-79,22.051356902356904,-0.3460000000000001,-0.051356902356904044
22,22.463,0.304,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.346,0.309,-79,22.051356902356904,-0.3460000000000001,-0.051356902356904044
22,22.375,0.227,-80,22.080356902356904,-0.375,-0.08035690235690396
22,22.375,0.209,-80,22.080356902356904,-0.375,-0.08035690235690396
22,22.375,0.5,-73,22.080356902356904,-0.375,-0.08035690235690396
22,22.405,0.197,-79,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.834,1.427,-72,22.539356902356904,-0.8339999999999996,-0.5393569023569036
22,22.756,0.401,-78,22.461356902356904,-0.7560000000000002,-0.4613569023569042
22,22.434,0.201,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.434,0.26,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.434,0.233,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.346,0.274,-79,22.051356902356904,-0.3460000000000001,-0.051356902356904044
22,22.317,0.251,-80,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.434,0.258,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.434,0.254,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.405,0.202,-79,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.346,0.245,-79,22.051356902356904,-0.3460000000000001,-0.051356902356904044
22,22.405,0.208,-78,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.346,0.249,-78,22.051356902356904,-0.3460000000000001,-0.051356902356904044
22,22.639,0.184,-77,22.344356902356903,-0.6389999999999993,-0.3443569023569033
22,22.581,0.124,-77,22.286356902356903,-0.5809999999999995,-0.2863569023569035
22,22.581,0.301,-78,22.286356902356903,-0.5809999999999995,-0.2863569023569035
22,22.17,0.272,-78,21.875356902356906,-0.1700000000000017,0.12464309764309434
22,21.936,0.226,-80,21.641356902356904,0.06400000000000006,0.3586430976430961
22,22.053,0.336,-80,21.758356902356905,-0.053000000000000824,0.24164309764309522
22,22.522,0.192,-79,22.227356902356902,-0.5219999999999985,-0.22735690235690242
22,22.053,0.206,-81,21.758356902356905,-0.053000000000000824,0.24164309764309522
22,22.327,0.12,-81,22.032356902356906,-0.32700000000000173,-0.03235690235690569
22,22.756,0.453,-78,22.461356902356904,-0.7560000000000002,-0.4613569023569042
22,22.463,0.178,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.082,0.59,-77,21.787356902356905,-0.08200000000000074,0.2126430976430953
22,22.463,0.234,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.463,0.22,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.551,0.204,-78,22.256356902356902,-0.5509999999999984,-0.25635690235690234
22,22.463,0.253,-78,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.405,0.345,-76,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.405,0.156,-80,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.375,0.248,-79,22.080356902356904,-0.375,-0.08035690235690396
22,22.434,0.201,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.581,0.173,-78,22.286356902356903,-0.5809999999999995,-0.2863569023569035
22,22.375,0.287,-78,22.080356902356904,-0.375,-0.08035690235690396
22,22.317,0.223,-77,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.434,0.201,-80,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.434,0.203,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.463,0.267,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.405,0.209,-80,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.375,0.247,-78,22.080356902356904,-0.375,-0.08035690235690396
22,22.317,0.265,-80,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.405,0.226,-80,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.288,0.213,-80,21.993356902356904,-0.28800000000000026,0.0066430976430957855
22,22.346,0.287,-79,22.051356902356904,-0.3460000000000001,-0.051356902356904044
22,22.405,0.181,-79,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.522,0.224,-79,22.227356902356902,-0.5219999999999985,-0.22735690235690242
22,22.434,0.198,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.317,0.259,-79,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.463,0.189,-80,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.434,0.283,-80,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.493,0.178,-79,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.405,0.235,-78,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.375,0.258,-78,22.080356902356904,-0.375,-0.08035690235690396
22,22.434,0.216,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.405,0.243,-79,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.405,0.267,-79,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.258,0.291,-79,21.963356902356903,-0.2579999999999991,0.03664309764309692
22,22.375,0.216,-80,22.080356902356904,-0.375,-0.08035690235690396
22,22.434,0.208,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.434,0.243,-79,22.139356902356905,-0.43400000000000105,-0.139356902356905
22,22.405,0.155,-79,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.317,0.286,-79,22.022356902356904,-0.31700000000000017,-0.02235690235690413
22,22.375,0.243,-79,22.080356902356904,-0.375,-0.08035690235690396
22,22.375,0.209,-79,22.080356902356904,-0.375,-0.08035690235690396
22,22.551,0.196,-78,22.256356902356902,-0.5509999999999984,-0.25635690235690234
22,22.375,0.251,-80,22.080356902356904,-0.375,-0.08035690235690396
22,22.493,0.192,-78,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.405,0.267,-78,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.493,0.225,-78,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.463,0.197,-79,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.522,0.159,-80,22.227356902356902,-0.5219999999999985,-0.22735690235690242
22,22.463,0.264,-78,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.639,0.159,-78,22.344356902356903,-0.6389999999999993,-0.3443569023569033
22,22.405,0.237,-78,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.288,0.306,-78,21.993356902356904,-0.28800000000000026,0.0066430976430957855
22,22.493,0.107,-77,22.198356902356903,-0.49299999999999855,-0.1983569023569025
22,22.639,0.12,-77,22.344356902356903,-0.6389999999999993,-0.3443569023569033
22,22.522,0.194,-77,22.227356902356902,-0.5219999999999985,-0.22735690235690242
22,22.405,0.267,-77,22.110356902356905,-0.40500000000000114,-0.1103569023569051
22,22.522,0.215,-78,22.227356902356902,-0.5219999999999985,-0.22735690235690242
22,22.551,0.158,-78,22.256356902356902,-0.5509999999999984,-0.25635690235690234
22,22.375,0.102,-78,22.080356902356904,-0.375,-0.08035690235690396
22,22.463,0.127,-77,22.168356902356905,-0.46300000000000097,-0.16835690235690492
22,22.493,0.27,-77,22.198356902356903,-0.49299999999999855,-0.1983569023569025
