True_Range,Est_Range,stdev,RSSI,Final_range,Error_before_offset,Error_after_offset
1,0.842,0.28,-45,1.104618243,0.158,0.104618243
1,0.666,0.088,-47,0.928618243,0.334,-0.071381757
1,0.989,0.132,-45,1.251618243,0.011,0.251618243
1,0.901,0.098,-45,1.163618243,0.099,0.163618243
1,0.871,0.162,-46,1.133618243,0.129,0.133618243
1,0.628,0.341,-46,0.890618243,0.372,-0.109381757
1,0.666,0.362,-45,0.928618243,0.334,-0.071381757
1,0.549,0.384,-46,0.811618243,0.451,-0.188381757
1,0.725,0.549,-45,0.987618243,0.275,-0.012381757
1,0.784,0.217,-45,1.046618243,0.216,0.046618243
1,0.784,0.136,-45,1.046618243,0.216,0.046618243
1,0.784,0.149,-45,1.046618243,0.216,0.046618243
1,0.862,0.131,-45,1.124618243,0.138,0.124618243
1,0.608,0.28,-46,0.870618243,0.392,-0.129381757
1,0.696,0.233,-46,0.958618243,0.304,-0.041381757
1,0.725,0.162,-46,0.987618243,0.275,-0.012381757
1,0.373,0.341,-45,0.635618243,0.627,-0.364381757
1,0.803,0.106,-47,1.065618243,0.197,0.065618243
1,0.53,0.116,-46,0.792618243,0.47,-0.207381757
1,0.412,0.296,-46,0.674618243,0.588,-0.325381757
1,0.754,0.059,-46,1.016618243,0.246,0.016618243
1,0.569,0.146,-45,0.831618243,0.431,-0.168381757
1,0.891,0.164,-46,1.153618243,0.109,0.153618243
1,0.871,0.149,-45,1.133618243,0.129,0.133618243
1,0.608,0.353,-46,0.870618243,0.392,-0.129381757
1,0.998,0.054,-46,1.260618243,0.002,0.260618243
1,0.666,0.573,-46,0.928618243,0.334,-0.071381757
1,0.696,0.734,-45,0.958618243,0.304,-0.041381757
1,0.871,0.587,-46,1.133618243,0.129,0.133618243
1,0.784,0.499,-46,1.046618243,0.216,0.046618243
1,0.754,0.197,-47,1.016618243,0.246,0.016618243
1,0.784,0.362,-46,1.046618243,0.216,0.046618243
1,0.842,0.613,-45,1.104618243,0.158,0.104618243
1,0.666,0.573,-46,0.928618243,0.334,-0.071381757
1,0.784,0.499,-45,1.046618243,0.216,0.046618243
1,0.871,0.479,-45,1.133618243,0.129,0.133618243
1,0.93,0.46,-46,1.192618243,0.07,0.192618243
1,1.018,0.083,-46,1.280618243,0.018,0.280618243
1,0.784,0.174,-47,1.046618243,0.216,0.046618243
1,0.725,0.171,-48,0.987618243,0.275,-0.012381757
1,0.579,0.29,-48,0.841618243,0.421,-0.158381757
1,0.901,0.376,-45,1.163618243,0.099,0.163618243
1,0.871,0.871,-46,1.133618243,0.129,0.133618243
1,0.784,0.457,-45,1.046618243,0.216,0.046618243
1,0.813,0.333,-46,1.075618243,0.187,0.075618243
1,0.813,0.385,-46,1.075618243,0.187,0.075618243
1,0.725,0.393,-45,0.987618243,0.275,-0.012381757
1,0.813,0.39,-45,1.075618243,0.187,0.075618243
1,0.813,0.462,-46,1.075618243,0.187,0.075618243
1,0.901,0.538,-46,1.163618243,0.099,0.163618243
1,0.725,0.529,-46,0.987618243,0.275,-0.012381757
1,1.135,0.305,-46,1.397618243,0.135,0.397618243
1,0.784,0.4,-47,1.046618243,0.216,0.046618243
1,0.93,0.257,-47,1.192618243,0.07,0.192618243
1,1.077,0.398,-47,1.339618243,0.077,0.339618243
1,1.047,0.483,-46,1.309618243,0.047,0.309618243
1,0.989,0.508,-46,1.251618243,0.011,0.251618243
1,0.93,0.584,-46,1.192618243,0.07,0.192618243
1,0.959,0.568,-46,1.221618243,0.041,0.221618243
1,0.959,0.59,-46,1.221618243,0.041,0.221618243
1,0.901,0.538,-46,1.163618243,0.099,0.163618243
1,0.754,0.49,-46,1.016618243,0.246,0.016618243
1,0.833,0.426,-46,1.095618243,0.167,0.095618243
1,0.608,0.529,-46,0.870618243,0.392,-0.129381757
