True_Range,Est_Range,stdev,RSSI,Final_range,Error_before_offset,Error_after_offset
21,21.057,0.444,-76,20.786523648648647,0.05699999999999861,-0.21347635135135334
21,21.233,0.551,-74,20.96252364864865,0.23300000000000054,-0.03747635135135141
21,21.291,0.875,-74,21.02052364864865,0.29100000000000037,0.020523648648648418
21,20.94,0.673,-72,20.66952364864865,0.05999999999999872,-0.3304763513513507
21,21.291,0.46,-73,21.02052364864865,0.29100000000000037,0.020523648648648418
21,21.028,0.942,-76,20.757523648648647,0.027999999999998693,-0.24247635135135326
21,20.94,0.868,-76,20.66952364864865,0.05999999999999872,-0.3304763513513507
21,21.106,1.158,-74,20.83552364864865,0.10600000000000165,-0.1644763513513503
21,20.647,1.414,-78,20.376523648648647,0.35300000000000153,-0.6234763513513535
21,20.911,1.053,-79,20.64052364864865,0.08899999999999864,-0.3594763513513506
21,20.998,0.934,-77,20.72752364864865,0.0019999999999988916,-0.27247635135135084
21,20.618,1.084,-78,20.347523648648647,0.38200000000000145,-0.6524763513513534
21,21.086,0.892,-79,20.815523648648647,0.08599999999999852,-0.18447635135135343
21,21.496,0.782,-80,21.225523648648647,0.49599999999999866,0.2255236486486467
21,21.174,1.084,-78,20.903523648648648,0.1739999999999995,-0.09647635135135246
21,20.852,1.178,-79,20.58152364864865,0.1479999999999997,-0.41847635135135164
21,20.998,1.226,-78,20.72752364864865,0.0019999999999988916,-0.27247635135135084
21,20.969,1.352,-77,20.69852364864865,0.030999999999998806,-0.30147635135135076
21,20.969,1.12,-78,20.69852364864865,0.030999999999998806,-0.30147635135135076
21,21.086,0.777,-78,20.815523648648647,0.08599999999999852,-0.18447635135135343
21,21.291,0.879,-76,21.02052364864865,0.29100000000000037,0.020523648648648418
21,20.706,0.962,-73,20.435523648648648,0.2940000000000005,-0.5644763513513524
21,21.086,1.027,-77,20.815523648648647,0.08599999999999852,-0.18447635135135343
21,20.969,0.848,-76,20.69852364864865,0.030999999999998806,-0.30147635135135076
21,22.131,0.75,-73,21.86052364864865,1.1310000000000002,0.8605236486486483
21,20.998,0.74,-73,20.72752364864865,0.0019999999999988916,-0.27247635135135084
21,21.789,0.231,-76,21.51852364864865,0.7890000000000015,0.5185236486486495
21,21.204,0.908,-76,20.93352364864865,0.20400000000000063,-0.06647635135135133
21,21.174,0.538,-79,20.903523648648648,0.1739999999999995,-0.09647635135135246
21,21.321,0.43,-76,21.05052364864865,0.3210000000000015,0.050523648648649555
21,21.038,0.372,-76,20.76752364864865,0.038000000000000256,-0.2324763513513517
21,21.028,0.634,-76,20.757523648648647,0.027999999999998693,-0.24247635135135326
21,21.116,1.07,-77,20.845523648648648,0.11599999999999966,-0.1544763513513523
21,21.116,0.596,-73,20.845523648648648,0.11599999999999966,-0.1544763513513523
21,21.145,0.764,-74,20.874523648648648,0.14499999999999957,-0.12547635135135238
21,21.145,0.743,-74,20.874523648648648,0.14499999999999957,-0.12547635135135238
21,21.233,0.777,-73,20.96252364864865,0.23300000000000054,-0.03747635135135141
21,21.204,0.662,-72,20.93352364864865,0.20400000000000063,-0.06647635135135133
21,21.204,0.487,-73,20.93352364864865,0.20400000000000063,-0.06647635135135133
21,20.969,0.716,-74,20.69852364864865,0.030999999999998806,-0.30147635135135076
21,21.028,0.618,-75,20.757523648648647,0.027999999999998693,-0.24247635135135326
21,22.288,0.587,-76,22.01752364864865,1.2880000000000003,1.0175236486486483
21,21.145,0.598,-75,20.874523648648648,0.14499999999999957,-0.12547635135135238
21,22.288,0.588,-77,22.01752364864865,1.2880000000000003,1.0175236486486483
21,21.438,0.316,-77,21.167523648648647,0.43799999999999883,0.16752364864864688
21,21.233,0.727,-77,20.96252364864865,0.23300000000000054,-0.03747635135135141
21,20.911,0.597,-77,20.64052364864865,0.08899999999999864,-0.3594763513513506
21,21.116,0.666,-75,20.845523648648648,0.11599999999999966,-0.1544763513513523
21,21.086,0.62,-74,20.815523648648647,0.08599999999999852,-0.18447635135135343
