RTT,RSS,TRUE
24.053835016835016,-79.0,25
24.31225233785925,-74.97809064550607,25
24.359257042938463,-75.6643075542102,25
24.223164658888457,-76.01089532319398,25
24.08197388938397,-76.43438819281108,25
24.062959167699407,-76.90377711718716,25
24.04289884956179,-77.24432386655056,25
24.04505874252869,-77.35603412648388,25
23.99614929155101,-77.4443028572789,25
23.941070160420676,-77.5159793126187,25
23.91861340486441,-77.4526135285415,25
23.87350386747926,-77.51722003252166,25
23.831610990281092,-77.34381158716326,25
23.921749217415588,-77.41688133985527,25
23.94042225783011,-77.69851384520219,25
23.976837752215463,-77.40929463691332,25
23.869035885059585,-77.26033306316052,25
23.860159145968375,-77.44215589297619,25
23.921588197436026,-77.70706116912231,25
23.919109242173402,-77.94277927133788,25
24.006816936688036,-78.0508126869171,25
24.057447433829363,-78.14733539032586,25
24.134259912087877,-78.13241192456573,25
24.140848293358754,-78.32097346740838,25
24.341503414603928,-77.8858364006899,25
24.395238023489174,-77.89730889583956,25
24.31267379341877,-77.90761090110509,25
24.42797314947915,-77.71650341290398,25
24.438034314870233,-77.64480346183913,25
24.544801649992447,-77.68031538696351,25
24.414230990421824,-78.01196689607512,25
24.37039411938805,-78.21046165467962,25
24.41892170886929,-78.28925473645272,25
24.485004446198797,-78.45991384925908,25
24.4865948701137,-78.7132249195117,25
24.493121872714145,-78.74181628611372,25
24.4350766827331,-78.96690918428169,25
24.422786081384757,-79.16953068947409,25
24.4197331263935,-79.3519334502803,25
24.424254077336137,-79.51614179189131,25
24.42796078657816,-79.66397553206984,25
24.423975847497008,-79.79707113366783,25
24.431154642038234,-79.9169005379863,25
24.473961819356145,-80.02478796751925,25
24.517884347755537,-80.02231893709836,25
24.560920308759133,-79.92049306015399,25
24.652577860629023,-79.72921140000828,25
24.71367941600121,-79.55698503725534,25
24.622935047684475,-79.6011077897399,25
24.58383447389043,-79.64083552505421,25
24.55880012222652,-79.67660617278781,25
24.594466989512316,-79.7088139865538,25
24.58858984225427,-79.737813910626,25
24.61366844855388,-79.76392550712097,25
24.59028493435126,-79.78743648872839,25
24.571112883481433,-79.90819687740428,25
24.52729757819111,-79.91733961153821,25
24.533517907392557,-79.92557179364111,25
24.55788905361269,-79.93298411397562,25
24.551575683046373,-80.03924826629445,25
24.5463993754713,-80.13492943730962,25
24.558004489146665,-80.12149184271361,25
